,number,name_en,name_en_lowercase,dex_en,name_de,name_de_lowercase,dex_de,name_fr,name_fr_lowercase,dex_fr,name_it,name_it_lowercase,dex_it,name_es,name_es_lowercase,dex_es,catchrate,atk,def,hp,spd,type1,type2,legendary,mythical
0,0,Missingno,missingno,"Ops, looks like something went wrong. Someone must have mispelled something.",Missingno,missingno,"Oh, da ist wohl etwas falsch gelaufen. Da hat sich jemand wohl vertippt.",Missingno,missingno,"Ops, looks like something went wrong. Someone must have mispelled something.",Missingno,missingno,"Ops, looks like something went wrong. Someone must have mispelled something.",Missingno,missingno,"Ops, looks like something went wrong. Someone must have mispelled something.",3,400,400,400,400,Bug,Normal,0,1
1,1,Bulbasaur,bulbasaur,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.",Bisasam,bisasam,"Nach der Geburt nimmt es für eine Weile Nährstoffe über den Samen auf seinem Rücken auf.",Bulbizarre,bulbizarre,"Quand il est jeune, il absorbe les nutriments conservés dans son dos pour grandir et se développer.",Bulbasaur,bulbasaur,"Appena nato, trae nutrimento dalle sostanze contenute nel seme sul dorso.",Bulbasaur,bulbasaur,"Desde que nace, crece alimentándose de los nutrientes que contiene la semilla de su lomo.",45,274,274,260,250,Grass,Poison,0,0
2,2,Ivysaur,ivysaur,"Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.",Bisaknosp,bisaknosp,"Die Sonne macht es stärker. Die Knospe auf seinem Rücken wächst unter dem Einfluss von Sonnenlicht.",Herbizarre,herbizarre,"La lumière du soleil le rend plus fort et vigoureux. Le bulbe sur son dos grossit en conséquence.",Ivysaur,ivysaur,"L’esposizione alla luce solare lo rafforza e fa crescere il bocciolo che ha sul dorso.",Ivysaur,ivysaur,"La luz del sol lo fortalece y hace que le crezca el capullo que tiene en el lomo.",45,302,303,290,280,Grass,Poison,0,0
3,3,Venusaur,venusaur,"A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.",Bisaflor,bisaflor,"Die Blume verströmt einen zauberhaften Duft. Er beschwichtigt erhitzte Kämpfer.",Florizarre,florizarre,"Une douce senteur émane de sa plante. Cette fragrance calme tous ceux qui sont engagés dans un combat.",Venusaur,venusaur,"Il suo fiore emana una fragranza inebriante capace di placare l’animo di chi è impegnato nella lotta.",Venusaur,venusaur,"La flor que tiene en el lomo libera un delicado aroma, que tiene un efecto relajante en combate.",45,342,343,330,320,Grass,Poison,0,0
4,4,Charmander,charmander,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",Glumanda,glumanda,"Von Geburt an brennt die Flamme auf seiner Schwanzspitze. Sobald sie verglimmt, erlischt auch sein Lebenslicht.",Salamèche,salamèche,"Depuis sa naissance, une petite flamme brûle au bout de sa queue. Si cette flamme s’éteint, la vie de ce Pokémon s’éteindra elle aussi.",Charmander,charmander,"Una fiamma gli arde sulla punta della coda fin dalla nascita. Se si spegnesse, per lui sarebbe la fine.",Charmander,charmander,"Este Pokémon nace con una llama en la punta de la cola. Si se le apagara, fallecería.",45,272,253,248,290,Fire,,0,0
5,5,Charmeleon,charmeleon,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.",Glutexo,glutexo,"Steigert es sich in einen Kampf hinein, spuckt es Flammen, die alles in seiner Umgebung niederbrennen.",Reptincel,reptincel,"S’il s’excite pendant un combat, il crache de grandes flammes, brûlant tout ce qui se trouve aux alentours.",Charmeleon,charmeleon,"Se s’infervora nella lotta, sputa potenti fiamme che inceneriscono l’area circostante.",Charmeleon,charmeleon,"Si se exalta en combate, expulsa intensas llamaradas que incineran todo a su alrededor.",45,304,283,286,320,Fire,,0,0
6,6,Charizard,charizard,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",Glurak,glurak,"Dieses Pokémon kann mit seinen Flügeln eine Höhe von bis zu 1400 m erreichen. Es spuckt sehr heißes Feuer.",Dracaufeu,dracaufeu,"Ses ailes lui permettent de voler à plus de 1 400 m d’altitude. Ce Pokémon crache du feu à des températures très élevées.",Charizard,charizard,"Grazie alle possenti ali può volare fino a 1.400 m d’altezza. Le fiamme che sputa possono raggiungere temperature altissime.",Charizard,charizard,"Sus potentes alas le permiten volar a una altura de 1400 m. Escupe llamaradas que llegan a alcanzar temperaturas elevadísimas.",45,353,323,326,360,Fire,Flying,0,0
7,7,Squirtle,squirtle,"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.",Schiggy,schiggy,"Fühlt es sich bedroht, verkriecht es sich in seinen Panzer und spuckt Wasser aus seinem Maul.",Carapuce,carapuce,"S’il se sent menacé, il rétracte ses pattes dans sa carapace pour se protéger et crache de l’eau.",Squirtle,squirtle,"Se si sente minacciato, ritira le zampe nel guscio e inizia a spruzzare acqua dalla bocca.",Squirtle,squirtle,"Cuando se siente en peligro, se esconde en su caparazón y escupe chorros de agua por la boca.",45,258,289,258,246,Water,,0,0
8,8,Wartortle,wartortle,"It cleverly controls its furry ears and tail to maintain its balance while swimming.",Schillok,schillok,"Es balanciert geschickt mit seinen buschigen Ohren und dem Schweif, während es im Wasser schwimmt.",Carabaffe,carabaffe,"Il se sert habilement de sa queue et de ses oreilles touffues pour garder son équilibre sous l’eau.",Wartortle,wartortle,"Controlla abilmente le orecchie e la coda coperte di pelo, mantenendo l’assetto mentre nuota.",Wartortle,wartortle,"Utiliza hábilmente sus peludas orejas y la cola para mantener el equilibrio al nadar.",45,288,320,288,276,Water,,0,0
9,9,Blastoise,blastoise,"The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.",Turtok,turtok,"Die Wassersalven, die es mit den Wasserdüsen in seinem Panzer abfeuert, durchdringen sogar dicke Stahlwände.",Tortank,tortank,"Les canons sur sa carapace tirent des jets d’eau capables de percer même de l’acier trempé.",Blastoise,blastoise,"I cannoni sul suo guscio sparano getti d’acqua capaci di bucare l’acciaio.",Blastoise,blastoise,"Dispara chorros de agua a través de los cañones de su caparazón, capaces de agujerear incluso el acero.",45,328,365,328,316,Water,,0,0
10,10,Caterpie,caterpie,"Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.",Raupy,raupy,"Es hat Saugnäpfe an den Beinchen, mit denen es mühelos Steigungen und Mauern erklimmen kann.",Chenipan,chenipan,"Ses petites pattes munies de ventouses lui permettent de monter les pentes et de grimper aux murs sans se fatiguer.",Caterpie,caterpie,"Le ventose sulle sue corte zampe gli permettono di affrontare ogni salita e di scalare senza fatica qualsiasi muro.",Caterpie,caterpie,"Sus cortas patas están recubiertas de ventosas que le permiten subir incansable por muros y cuestas.",255,210,215,260,250,Bug,,0,0
11,11,Metapod,metapod,"Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack.",Safcon,safcon,"In seiner harten Schale ist ein weicher Körper. Einem brutalen Angriff hat es nichts entgegenzusetzen.",Chrysacier,chrysacier,"Bien que son corps soit entouré d’une carapace solide, l’intérieur est si mou qu’il ne résisterait pas à une attaque violente.",Metapod,metapod,"La corazza esterna è robusta ma l’interno è molle. Per questo non è in grado di resistere ad attacchi particolarmente veementi.",Metapod,metapod,"Aunque cuenta con una coraza muy dura, tiene un cuerpo bastante blando. Un ataque violento puede acabar con él.",120,205,240,270,220,Bug,,0,0
12,12,Butterfree,butterfree,"It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.",Smettbo,smettbo,"Es sammelt täglich Honig. Es reibt ihn in seine Beinhaare, um ihn in sein Nest zu transportieren.",Papilusion,papilusion,"Il ramasse du nectar chaque jour et l’agglutine sur les poils de ses pattes pour le transporter jusqu’à son nid.",Butterfree,butterfree,"Raccoglie nettare tutti i giorni e lo spalma sulla peluria che ricopre le sue zampe per trasportarlo al nido.",Butterfree,butterfree,"Recoge néctar a diario y se lo adhiere al pelo de las patas para llevarlo a su nido.",45,295,290,290,300,Bug,Flying,0,0
13,13,Weedle,weedle,"Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.",Hornliu,hornliu,"Auf seinem Kopf befindet sich ein spitzer Stachel. Es versteckt sich im hohen Gras sowie in Wäldern und frisst eifrig Blätter.",Aspicot,aspicot,"L’aiguillon sur son front est très pointu. Il se cache dans les bois et les hautes herbes, où il se gave de feuilles.",Weedle,weedle,"Ha un pungiglione acuminato sul capo. Vive tra l’erba alta e nei boschi, dove si nutre di foglie.",Weedle,weedle,"El aguijón de la cabeza es muy puntiagudo. Se alimenta de hojas oculto en la espesura de bosques y praderas.",255,215,210,250,260,Bug,Poison,0,0
14,14,Kakuna,kakuna,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.",Kokuna,kokuna,"Obwohl es sich kaum bewegen kann, ist es bei Gefahr in der Lage, einen Stachel auszufahren, mit dem es seine Gegner vergiftet.",Coconfort,coconfort,"Il peut à peine bouger. Quand il est menacé, il sort parfois son aiguillon pour empoisonner ses ennemis.",Kakuna,kakuna,"È molto limitato nei movimenti. Se si sente minacciato, estrae il pungiglione e avvelena il nemico.",Kakuna,kakuna,"Aunque es casi incapaz de moverse, en caso de sentirse amenazado puede envenenar a los enemigos con su aguijón.",120,210,235,260,230,Bug,Poison,0,0
15,15,Beedrill,beedrill,"It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.",Bibor,bibor,"Es verfügt über insgesamt drei Giftstachel, zwei an den Armen und einen am Hinterleib, mit denen es seine Gegner wiederholt angreift.",Dardargnan,dardargnan,"Il se sert de ses trois aiguillons empoisonnés situés sur les pattes avant et l’abdomen pour attaquer sans relâche ses adversaires.",Beedrill,beedrill,"Possiede tre aculei velenosi, due sulle zampe anteriori e uno sull’addome, con cui punge ripetutamente i nemici.",Beedrill,beedrill,"Tiene tres aguijones venenosos, dos en las patas anteriores y uno en la parte baja del abdomen, con los que ataca a sus enemigos una y otra vez.",45,295,280,300,310,Bug,Poison,0,0
